"ID","Symbol","Quantity","Buy_Value","Sell_Value","Realized_PnL","Realized_PnL_Pct"
170,BANKNIFTY2190236500PE,25,1140,950,-190,-17
171,BANKNIFTY2190236800CE,75,3440,4191,751,22
172,BANKNIFTY2190237000CE,175,8628,8981,352,4
173,BANKNIFTY2190237100CE,50,2725,3005,280,10
174,BANKNIFTY2190237200CE,75,3625,4636,1011,28
175,BANKNIFTY2190237300CE,75,2332,2457,125,5
176,BANKNIFTY2190237800CE,25,893,660,-233,-26
177,BANKNIFTY2190935400PE,25,651,525,-126,-19
178,BANKNIFTY2190938000CE,75,5641,5430,-211,-4
179,BANKNIFTY2192334000PE,25,305,250,-55,-18
180,BANKNIFTY2192338700CE,25,166,142,-23,-14
181,BANKNIFTY21AUG35400PE,125,25017,23632,-1385,-6
182,BANKNIFTY21AUG35500CE,150,32650,31975,-675,-2
183,BANKNIFTY21AUG35500PE,75,15465,15478,13,0
184,BANKNIFTY21AUG35600CE,25,1570,1082,-487,-31
185,BANKNIFTY21AUG35600PE,75,2645,945,-1700,-64
186,BANKNIFTY21AUG35700PE,75,5086,6131,1045,21
187,BANKNIFTY21AUG35800PE,25,2325,2446,121,5
188,BANKNIFTY21FEB34600PE,25,5500,5750,250,5
189,BANKNIFTY21FEB34700PE,25,5587,4751,-836,-15
190,BANKNIFTY21FEB34900PE,25,5852,5626,-226,-4
191,BANKNIFTY21FEB35100PE,75,23341,21821,-1520,-7
192,BANKNIFTY21FEB35200PE,100,24583,24630,46,0
193,BANKNIFTY21FEB35300PE,25,6388,7000,611,10
194,BANKNIFTY21FEB35500CE,125,33832,33815,-17,0
195,BANKNIFTY21FEB35700CE,25,7988,8551,562,7
196,BANKNIFTY21FEB35700PE,75,22013,21711,-302,-1
197,BANKNIFTY21FEB35800CE,50,11333,11900,566,5
198,BANKNIFTY21FEB35800PE,100,31320,27773,-3546,-11
199,BANKNIFTY21FEB35900CE,50,14505,17648,3143,22
200,BANKNIFTY21FEB36000CE,75,15790,14825,-965,-6
201,BANKNIFTY21FEB36300CE,50,14125,13042,-1082,-8
202,BANKNIFTY21FEB36500CE,100,30298,26883,-3415,-11
203,BANKNIFTY21FEB36600CE,25,5085,4067,-1017,-20
204,BANKNIFTY21FEB36600PE,25,9968,9470,-498,-5
205,BANKNIFTY21FEB37000CE,25,6375,5950,-425,-7
206,BANKNIFTY21FEB37000PE,50,17495,16785,-710,-4
207,BANKNIFTY21FEB37100CE,75,9420,9372,-47,-1
208,BANKNIFTY21FEB37200CE,25,6000,6626,626,10
209,BANKNIFTY21FEB38000CE,100,90,120,30,33
210,BANKNIFTY21MAR32500PE,150,38951,36751,-2200,-6
211,BANKNIFTY21MAR32600PE,125,27750,24901,-2848,-10
212,BANKNIFTY21MAR34800CE,50,12375,12200,-175,-1
213,BANKNIFTY21MAR35000CE,175,43487,44052,565,1
214,BANKNIFTY21MAR35400CE,25,3850,3510,-340,-9
215,BANKNIFTY21N1138600PE,350,40826,39200,-1626,-4
216,BANKNIFTY21N1138700CE,75,13158,12168,-990,-8
217,BANKNIFTY21N1138700PE,75,11768,11662,-106,-1
218,BANKNIFTY21N1139000PE,100,25650,24091,-1558,-6
219,BANKNIFTY21N1139200CE,50,9473,8688,-785,-8
220,BANKNIFTY21N1837800PE,25,2896,2693,-202,-7
221,BANKNIFTY21N1838000PE,25,2893,3310,416,14
222,BANKNIFTY21NOV36000PE,25,3097,1075,-2022,-65
223,BANKNIFTY21NOV37000PE,50,6771,6773,2,0
224,BANKNIFTY21NOV37300PE,25,4086,4640,553,14
225,BANKNIFTY21NOV37600CE,25,4372,4166,-206,-5
226,BANKNIFTY21O1438700CE,25,5290,4500,-790,-15
227,BANKNIFTY21O1438800CE,25,3325,3187,-137,-4
228,BANKNIFTY21O2139400PE,25,6668,7100,431,6
229,BANKNIFTY21O2139500CE,25,7491,7305,-186,-2
230,BANKNIFTY21O2140000CE,25,5720,7118,1398,24
231,BANKNIFTY21O2140100CE,25,6321,5950,-371,-6
232,BANKNIFTY21O2140200CE,25,4925,4227,-697,-14
233,BANKNIFTY21OCT39800PE,25,1125,801,-323,-29
234,BANKNIFTY21OCT40000PE,25,1246,1000,-246,-20
235,BANKNIFTY21OCT41500CE,50,5800,6592,792,14
236,BANKNIFTY21OCT41700CE,75,10277,10515,237,2
237,BANKNIFTY21OCT42300CE,50,9260,8775,-485,-5
238,BDL,200,73522,73170,-352,0
239,BHARTIARTL,148,81450,81526,76,0
240,BHARTIARTL21AUG640CE,1851,5090,5182,92,2
241,BIOCON,90,30974,31007,33,0
242,BIOCON21AUG330PE,4600,29785,24495,-5290,-18
243,BIOCON21AUG340PE,4600,31165,41515,10350,33
244,BIOCON21AUG345PE,2300,6440,7820,1380,21
245,BIOCON21AUG355PE,2300,8050,15295,7245,90
246,BIOCON21SEP300PE,2300,6900,5980,-920,-13
247,BPCL,200,84155,84200,45,0
248,BRITANNIA,29,108977,108773,-204,0
249,CAMS,100,196964,196650,-314,0
250,CIPLA,60,55274,55513,238,0
251,COFORGE21AUG5200CE,800,44810,48200,3390,8
252,COFORGE21AUG5300CE,400,17330,15150,-2180,-13
253,DEEPAKNTR,41,49794,49914,120,0
254,DLF,30,13152,13071,-81,-1
255,DLF21NOV480CE,1650,11880,11385,-495,-4
256,DRREDDY,45,222793,222719,-73,0
257,DRREDDY21JUN5800CE,375,12887,12212,-675,-5
258,DRREDDY21NOV5200CE,125,11500,10000,-1500,-13
259,DRREDDY21SEP5800CE,125,1525,1418,-106,-7
260,EICHERMOT,13,32404,32376,-28,0
261,EICHERMOT21AUG2600CE,700,20492,21000,507,2
262,EICHERMOT21NOV2700CE,350,17500,17850,350,2
264,EMAMILTD*,1,528,533,6,1
265,FEDERALBNK,50,4060,4050,-10,0
266,FINNIFTY2141514200PE,40,1760,1402,-358,-20
267,GLENMARK,161,103910,103778,-132,0
268,GRASIM,20,29780,29769,-11,0
269,GUJGASLTD,42,27241,27300,59,0
270,HAPPSTMNDS,100,65800,65439,-361,-1
271,HCLTECH,20,19397,19392,-5,0
272,HCLTECH21AUG1160CE,700,7140,7700,560,8
273,HDFC,1,2574,2576,2,0
274,HDFC21APR2300PE,300,4350,4440,90,2
275,HDFC21AUG2650PE,300,3000,2700,-300,-10
276,HDFC21AUG2750CE,300,9900,11100,1200,12
277,HDFCBANK,30,43619,43615,-5,0
278,HDFCBANK21AUG1560CE,550,5995,4647,-1347,-22
279,HDFCBANK21JUN1540CE,550,16225,15565,-660,-4
280,HINDALCO,309,105821,105792,-28,0
281,HINDALCO21AUG420PE,2150,7632,7955,322,4
282,HINDALCO21NOV510CE,1075,10427,9245,-1182,-11
283,HINDALCO21OCT500CE,2150,3870,3655,-215,-6
284,HINDUNILVR,12,28465,28422,-43,0
285,HINDUNILVR21AUG2480PE,300,6600,6300,-300,-5
286,HINDUNILVR21AUG2500CE,600,15720,12030,-3690,-23
287,HINDUNILVR21AUG2520CE,300,7320,11100,3780,52
288,HINDUNILVR21AUG2600CE,300,8235,9900,1665,20
289,HINDUNILVR21AUG2620CE,300,8685,11250,2565,30
290,HINDUNILVR21OCT2300PE,300,4200,2520,-1680,-40
291,HINDUNILVR21OCT2400PE,900,10230,8145,-2085,-20
292,HINDUNILVR21OCT2800CE,300,7110,7215,105,1
293,HLEGLAS,2,3930,3940,10,0
294,IBULHSGFIN,70,21770,21707,-63,0
295,ICICIBANK,83,50042,49966,-76,0
296,ICICIBANK21AUG700CE,1375,6325,5500,-825,-13
297,ICICIBANK21MAY680CE,1375,1306,1237,-68,-5
298,ICICIBANK21NOV800CE,1375,19800,17875,-1925,-10
299,ICICIBANK21OCT820CE,1375,6393,5087,-1306,-20
300,IDFCFIRSTB,32,1538,1581,43,3
301,IGL,65,37450,37448,-3,0
302,INDHOTEL,9,1937,1925,-12,-1
303,INDIACEM,20,4250,4229,-21,0
304,INDIGO,80,181129,180462,-667,0
305,INDIGO21NOV2000PE,250,4587,3850,-737,-16
306,INDIGO21NOV2400CE,1250,40475,40575,100,0
307,INDIGO21NOV2500CE,1250,26375,24950,-1425,-5
308,INDUSINDBK,66,66218,66295,78,0
309,INDUSINDBK21AUG960PE,900,7515,6750,-765,-10
310,INFY,100,134300,134268,-33,0
311,INFY21AUG1760CE,2400,28320,29610,1290,5
312,IOC,14,1475,1486,12,1
313,IOC21NOV150CE,6500,6500,5200,-1300,-20
314,IRCTC,95,204375,204450,75,0
315,IRFC,575,14950,14393,-558,-4
316,JINDALSTEL,347,143259,142876,-383,0
317,JSWSTEEL,498,300587,300171,-415,0
318,JSWSTEEL21JUN700PE,1350,36855,35100,-1755,-5
319,JSWSTEEL21JUN710CE,2700,89167,85995,-3172,-4
320,JUBLFOOD21OCT3400PE,250,3250,2750,-500,-15
322,KOPRAN6,4,700,728,28,4
323,KOTAKBANK,25,45451,45463,12,0
324,KOTAKBANK21AUG1740PE,800,9940,9240,-700,-7
325,KOTAKBANK21AUG1760PE,800,14480,17160,2680,19
326,KOTAKBANK21NOV1920PE,800,6380,6740,360,6
327,KOTAKBANK21NOV1960PE,400,4000,4000,0,0
328,KOTAKBANK21NOV2000PE,400,8560,8400,-160,-2
329,KOTAKBANK21NOV2200CE,400,9260,7840,-1420,-15
330,KOTAKBANK21OCT2300CE,400,3560,3960,400,11
331,KOTAKBANK21OCT2400CE,2000,12340,12319,-20,0
332,LT,35,54460,54350,-110,0
333,LT21MAY1600CE,1150,6066,4600,-1466,-24
334,LT21NOV1800PE,575,2990,2990,0,0
335,LT21NOV1860PE,575,2990,4657,1667,56
336,LT21NOV1880PE,575,5232,4168,-1063,-20
337,LT21NOV1940CE,575,13110,14375,1265,10
338,LT21NOV1960CE,575,15525,17106,1581,10
339,LT21NOV1980CE,1725,42952,40595,-2357,-5
340,LT21NOV2000CE,575,10292,10062,-230,-2
341,LT21OCT1700PE,1150,7618,6497,-1121,-15
342,LT21OCT1960CE,575,6900,8050,1150,17
343,LT21OCT2080CE,575,4168,5692,1523,37
344,M&M,217,175041,174807,-234,0
345,M&M21NOV890PE,700,2800,1575,-1225,-44
346,MARUTI,65,441277,441239,-38,0
347,MARUTI21AUG6700PE,400,26670,24479,-2190,-8
348,MARUTI21NOV7350PE,100,9700,8485,-1215,-13
349,MARUTI21NOV7800CE,200,31820,32500,680,2
350,MARUTI21NOV8000CE,300,47499,49224,1725,4
351,MARUTI21NOV8100CE,200,31505,31525,20,0
352,MARUTI21NOV8400CE,100,5745,5415,-330,-6
353,MARUTI21OCT7100PE,300,11030,10055,-975,-9
354,MARUTI21OCT8000CE,100,9540,9350,-190,-2
355,MARUTI21OCT8100CE,100,8050,7500,-550,-7
356,MARUTI21SEP7800CE,100,2175,1865,-310,-14
357,MARUTI21SEP8000CE,100,1400,1200,-200,-14
358,MCDOWELL-N,26,23992,23920,-72,0
359,MCDOWELL-N21AUG720CE,1250,10000,12500,2500,25
360,MCDOWELL-N21AUG740CE,3750,36250,35250,-1000,-3
361,MCDOWELL-N21AUG760CE,2500,16375,14187,-2187,-13
362,MCDOWELL-N21NOV1060CE,8750,112750,119500,6750,6
363,MCDOWELL-N21NOV1100CE,2500,24000,22687,-1312,-5
364,MCDOWELL-N21NOV920PE,1250,12000,12125,125,1
365,MCDOWELL-N21NOV970CE,1250,4312,4625,312,7
366,MINDTREE,5,23140,23179,38,0
367,MOTHERSUMI,50,10375,10568,193,2
368,MOTHERSUMI21JUN270CE,3500,37100,31675,-5425,-15
369,MUTHOOTFIN,75,97233,97487,254,0
370,MUTHOOTFIN21NOV1520PE,750,7312,7143,-168,-2
371,MUTHOOTFIN21NOV1540PE,375,4087,5100,1012,25
372,MUTHOOTFIN21NOV1700CE,375,13818,15131,1312,9
373,MUTHOOTFIN21NOV1760CE,750,25350,26381,1031,4
374,MUTHOOTFIN21NOV1800CE,1500,34425,34200,-225,-1
375,MUTHOOTFIN21OCT1800CE,1500,8625,10837,2212,26
376,MUTHOOTFIN21OCT1900CE,750,2212,2025,-187,-8
377,NAUKRI,30,163869,162270,-1599,-1
378,NAUKRI21AUG5900CE,125,8125,4875,-3250,-40
379,NAVINFLUOR21APR3200CE,225,18787,16886,-1901,-10
380,NESTLEIND21AUG20000CE,50,11750,12250,500,4
381,NESTLEIND21AUG21000CE,50,2550,2200,-350,-14
382,NIFTY2140114500PE,75,558,682,123,22
383,NIFTY2140114900CE,225,1488,1215,-273,-18
384,NIFTY2141514300PE,75,6033,5595,-438,-7
385,NIFTY2141514800CE,75,735,892,157,21
386,NIFTY2141515000CE,75,6097,5763,-333,-5
387,NIFTY2142214200PE,450,30078,29925,-153,-1
388,NIFTY2142214700CE,75,10057,9450,-607,-6
389,NIFTY2152014350PE,150,6930,6592,-337,-5
390,NIFTY2152014400PE,225,12273,12363,90,1
391,NIFTY2152014450PE,75,3900,3738,-161,-4
392,NIFTY2152014500PE,75,4935,4541,-393,-8
393,NIFTY2152014900CE,75,3975,4125,150,4
394,NIFTY2152014950CE,75,2767,2400,-367,-13
395,NIFTY2160315450CE,75,7931,7687,-243,-3
396,NIFTY2160315550PE,75,6997,6270,-727,-10
397,NIFTY2160315600CE,225,13293,14711,1417,11
398,NIFTY2161015500PE,150,652,682,30,5
399,NIFTY2161015650PE,75,7800,7725,-75,-1
400,NIFTY2161015700CE,375,31792,31650,-142,0
401,NIFTY2161015700PE,525,47700,46860,-840,-2
402,NIFTY2161015750CE,1200,71103,70635,-468,-1
403,NIFTY2161015800PE,75,9746,10290,543,6
404,NIFTY2161715550PE,150,9877,9135,-742,-8
405,NIFTY2161715650PE,75,5272,5962,690,13
406,NIFTY2161715800CE,75,3918,3896,-22,-1
407,NIFTY2161715800PE,150,14497,14538,41,0
408,NIFTY2161715900CE,300,15885,15633,-251,-2
409,NIFTY2161715950CE,150,4042,2268,-1773,-44
410,NIFTY2190216700CE,50,5477,5355,-122,-2
411,NIFTY2190217050PE,150,5745,5272,-472,-8
412,NIFTY2190217100CE,100,1557,1997,440,28
413,NIFTY2190217150CE,150,2252,2700,447,20
414,NIFTY2190217200CE,50,700,1800,1100,157
415,NIFTY2190217250CE,100,2392,2287,-105,-4
416,NIFTY2190217350CE,50,1000,1382,382,38
417,NIFTY2190217400CE,100,1430,1087,-342,-24
418,NIFTY2190917000PE,50,1750,1857,107,6
419,NIFTY2190917400CE,50,1600,1492,-107,-7
420,NIFTY2190917450CE,100,3715,4632,917,25
421,NIFTY2190917500CE,50,1605,1740,135,8
422,NIFTY2190917600CE,150,3922,3484,-437,-11
423,NIFTY2190917650CE,50,657,407,-250,-38
424,NIFTY2192316600PE,50,325,300,-25,-8
425,NIFTY2192318000CE,50,347,517,170,49
426,NIFTY2192318050CE,50,310,280,-30,-10
427,NIFTY2192318100CE,50,325,300,-25,-8
428,NIFTY21AUG16350PE,50,3590,1300,-2290,-64
429,NIFTY21AUG16700CE,300,12225,12300,75,1
430,NIFTY21AUG16700PE,500,31677,30227,-1450,-5
431,NIFTY21MAR15000CE,75,2850,2621,-228,-8
432,NIFTY21N0317450PE,50,5392,4412,-980,-18
433,NIFTY21N0317750CE,50,7177,7492,315,4
434,NIFTY21N0317800CE,50,6547,6250,-297,-5
435,NIFTY21N0317800PE,300,8030,9150,1120,14
436,NIFTY21N0317850PE,350,9479,12165,2685,28
437,NIFTY21N0317900CE,300,19455,18877,-577,-3
438,NIFTY21N0317900PE,200,8835,8600,-235,-3
439,NIFTY21N0318000CE,50,4970,4600,-370,-7
440,NIFTY21N0318200CE,100,4382,3702,-680,-16
441,NIFTY21N1117800PE,550,16997,15875,-1122,-7
442,NIFTY21N1117850PE,500,23725,20560,-3165,-13
443,NIFTY21N1117900CE,50,7265,6750,-515,-7
444,NIFTY21N1117900PE,100,5437,4850,-587,-11
445,NIFTY21N1117950PE,50,5707,5782,75,1
446,NIFTY21N1118000CE,50,6500,7025,525,8
447,NIFTY21N1118200CE,50,1725,1650,-75,-4
448,NIFTY21N1817750PE,100,2217,2372,155,7
449,NIFTY21N1817800CE,50,1302,1095,-207,-16
450,NIFTY21NOV16950PE,50,5607,6050,442,8
451,NIFTY21NOV17350PE,50,4452,4040,-412,-9
452,NIFTY21NOV17500PE,50,6685,6705,20,0
453,NIFTY21NOV17550PE,100,8285,8482,197,2
454,NIFTY21NOV17700PE,50,9637,8312,-1325,-14
455,NIFTY21NOV17800CE,100,12467,12372,-95,-1
456,NIFTY21NOV17850CE,50,5470,4910,-560,-10
457,NIFTY21NOV18000CE,100,20125,19367,-757,-4
458,NIFTY21NOV18200CE,50,9445,9682,237,3
459,NIFTY21NOV18400CE,50,5510,5025,-485,-9
460,NIFTY21O1418150CE,50,3142,5142,2000,64
461,NIFTY21O1418200CE,50,2075,2270,195,9
462,NIFTY21O2118000PE,50,437,200,-237,-54
463,NIFTY21O2118200CE,50,4935,5235,300,6
464,NIFTY21O2118300CE,100,12560,12197,-362,-3
465,NIFTY21O2118300PE,100,12910,12257,-652,-5
466,NIFTY21O2118350CE,50,5787,8972,3185,55
467,NIFTY21O2118400PE,100,8992,7657,-1335,-15
468,NIFTY21O2118500PE,100,8215,7932,-282,-3
469,NIFTY21O2118550CE,150,12637,11755,-882,-7
470,NIFTY21O2118600CE,50,3570,3300,-270,-8
471,NIFTY21OCT17900PE,300,6165,5484,-680,-11
472,NIFTY21OCT17950PE,500,13432,13029,-402,-3
473,NIFTY21OCT18000PE,450,15482,15344,-137,-1
